Customer ID,Country,Day of Latest purchase,No of Purchases, Sales
14646,Netherlands,30-Mar-22,4,$21.5K
17450,United Kingdom,25-Mar-22,3,$13.5K
15769,United Kingdom,17-Mar-22,3,$13.0K
14156,EIRE,17-Mar-22,6,$9.7K
13694,United Kingdom,23-Mar-22,3,$8.1K
17511,United Kingdom,29-Mar-22,3,$7.2K
14911,EIRE,31-Mar-22,13,$7.1K
18102,United Kingdom,25-Mar-22,2,$6.9K
15311,United Kingdom,15-Mar-22,5,$6.5K
12428,Finland,30-Mar-22,4,$5.4K
16684,United Kingdom,18-Mar-22,2,$4.8K
17404,Sweden,14-Mar-22,2,$4.5K
13089,United Kingdom,31-Mar-22,6,$4.5K
15061,United Kingdom,31-Mar-22,7,$4.3K
12435,Denmark,17-Mar-22,1,$4.0K
15125,United Kingdom,14-Mar-22,1,$3.8K
13340,United Kingdom,08-Mar-22,1,$3.7K
16422,United Kingdom,29-Mar-22,5,$3.6K
16029,United Kingdom,25-Mar-22,6,$3.5K
13798,United Kingdom,30-Mar-22,6,$3.5K
15838,United Kingdom,10-Mar-22,1,$3.3K
12678,France,31-Mar-22,1,$3.2K
12901,United Kingdom,24-Mar-22,3,$3.2K
14298,United Kingdom,29-Mar-22,4,$2.5K
14769,United Kingdom,20-Mar-22,1,$2.4K
12731,France,31-Mar-22,2,$2.4K
13081,United Kingdom,21-Mar-22,1,$2.3K
15032,United Kingdom,28-Mar-22,1,$2.2K
13802,United Kingdom,30-Mar-22,1,$2.2K
17416,United Kingdom,22-Mar-22,1,$2.1K
14680,United Kingdom,29-Mar-22,1,$2.1K
15513,United Kingdom,24-Mar-22,3,$2.1K
16839,United Kingdom,31-Mar-22,4,$2.0K
17381,United Kingdom,07-Mar-22,2,$2.0K
15039,United Kingdom,28-Mar-22,4,$2.0K
17949,United Kingdom,11-Mar-22,2,$2.0K
13001,United Kingdom,30-Mar-22,3,$1.9K
16333,United Kingdom,04-Mar-22,1,$1.9K
12939,United Kingdom,11-Mar-22,1,$1.9K
16525,United Kingdom,24-Mar-22,3,$1.8K
16152,United Kingdom,16-Mar-22,1,$1.8K
16013,United Kingdom,16-Mar-22,4,$1.8K
15502,United Kingdom,14-Mar-22,1,$1.7K
14031,United Kingdom,31-Mar-22,2,$1.7K
16253,United Kingdom,29-Mar-22,1,$1.7K
17107,United Kingdom,06-Mar-22,1,$1.7K
13344,United Kingdom,07-Mar-22,1,$1.7K
13316,United Kingdom,31-Mar-22,1,$1.6K
12683,France,23-Mar-22,3,$1.6K
16652,United Kingdom,11-Mar-22,1,$1.6K
14936,Channel Islands,09-Mar-22,1,$1.6K
12758,Portugal,08-Mar-22,1,$1.6K
12818,Austria,23-Mar-22,1,$1.5K
13408,United Kingdom,27-Mar-22,4,$1.5K
14367,United Kingdom,29-Mar-22,2,$1.5K
14016,EIRE,15-Mar-22,1,$1.5K
17841,United Kingdom,31-Mar-22,9,$1.5K
13722,United Kingdom,02-Mar-22,1,$1.5K
12668,Germany,25-Mar-22,1,$1.4K
12681,France,22-Mar-22,3,$1.4K
17677,United Kingdom,30-Mar-22,2,$1.4K
15416,United Kingdom,02-Mar-22,1,$1.4K
15834,United Kingdom,07-Mar-22,2,$1.3K
14606,United Kingdom,29-Mar-22,8,$1.3K
16692,United Kingdom,28-Mar-22,1,$1.3K
13777,United Kingdom,31-Mar-22,3,$1.3K
15245,United Kingdom,23-Mar-22,1,$1.3K
12520,Germany,25-Mar-22,2,$1.2K
13078,United Kingdom,30-Mar-22,2,$1.2K
14101,United Kingdom,20-Mar-22,1,$1.2K
13263,United Kingdom,29-Mar-22,4,$1.2K
17426,United Kingdom,02-Mar-22,1,$1.2K
15465,United Kingdom,27-Mar-22,3,$1.2K
16698,United Kingdom,31-Mar-22,1,$1.2K
12709,Germany,30-Mar-22,2,$1.2K
12748,United Kingdom,25-Mar-22,12,$1.2K
13113,United Kingdom,30-Mar-22,3,$1.2K
16672,United Kingdom,18-Mar-22,1,$1.2K
16923,United Kingdom,27-Mar-22,2,$1.2K
16398,United Kingdom,31-Mar-22,1,$1.2K
